n1,n2,beta,s1,s2
1,9,7.4,0.898890345,-0.099876705
2,8,7.4,0.79901364,-0.19975341
3,7,7.4,0.699136935,-0.299630115
4,6,7.4,0.59926023,-0.39950682
5,5,7.4,0.499383525,-0.499383525
1,9,7.45,0.898944843,-0.09988276
2,8,7.45,0.799062082,-0.199765521
3,7,7.45,0.699179322,-0.299648281
4,6,7.45,0.599296562,-0.399531041
5,5,7.45,0.499413801,-0.499413801
1,9,7.5,0.898996649,-0.099888517
2,8,7.5,0.799108132,-0.199777033
3,7,7.5,0.699219616,-0.29966555
4,6,7.5,0.599331099,-0.399554066
5,5,7.5,0.499442583,-0.499442583
1,9,7.55,0.899045898,-0.099893989
2,8,7.55,0.799151909,-0.199787977
3,7,7.55,0.69925792,-0.299681966
4,6,7.55,0.599363932,-0.399575955
5,5,7.55,0.499469943,-0.499469943
1,9,7.6,0.899092717,-0.099899191
2,8,7.6,0.799193526,-0.199798382
3,7,7.6,0.699294335,-0.299697572
4,6,7.6,0.599395145,-0.399596763
5,5,7.6,0.499495954,-0.499495954
1,9,7.65,0.899137227,-0.099904136
2,8,7.65,0.799233091,-0.199808273
3,7,7.65,0.699328955,-0.299712409
4,6,7.65,0.599424818,-0.399616545
5,5,7.65,0.499520682,-0.499520682
1,9,7.7,0.899179544,-0.099908838
2,8,7.7,0.799270705,-0.199817676
3,7,7.7,0.699361867,-0.299726515
4,6,7.7,0.599453029,-0.399635353
5,5,7.7,0.499544191,-0.499544191
1,9,7.75,0.899219775,-0.099913308
2,8,7.75,0.799306467,-0.199826617
3,7,7.75,0.699393158,-0.299739925
4,6,7.75,0.59947985,-0.399653233
5,5,7.75,0.499566542,-0.499566542
1,9,7.8,0.899258025,-0.099917558
2,8,7.8,0.799340467,-0.199835117
3,7,7.8,0.699422908,-0.299752675
4,6,7.8,0.59950535,-0.399670233
5,5,7.8,0.499587792,-0.499587792
1,9,7.85,0.899294392,-0.099921599
2,8,7.85,0.799372793,-0.199843198
3,7,7.85,0.699451194,-0.299764797
4,6,7.85,0.599529595,-0.399686397
5,5,7.85,0.499607996,-0.499607996
1,9,7.9,0.89932897,-0.099925441
2,8,7.9,0.799403528,-0.199850882
3,7,7.9,0.699478087,-0.299776323
4,6,7.9,0.599552646,-0.399701764
5,5,7.9,0.499627205,-0.499627205
1,9,7.95,0.899361846,-0.099929094
2,8,7.95,0.799432752,-0.199858188
3,7,7.95,0.699503658,-0.299787282
4,6,7.95,0.599574564,-0.399716376
5,5,7.95,0.49964547,-0.49964547
1,9,8,0.899393106,-0.099932567
2,8,8,0.799460538,-0.199865135
3,7,8,0.699527971,-0.299797702
4,6,8,0.599595404,-0.399730269
5,5,8,0.499662837,-0.499662837
1,9,8.05,0.899422829,-0.09993587
2,8,8.05,0.799486959,-0.19987174
3,7,8.05,0.699551089,-0.29980761
4,6,8.05,0.599615219,-0.399743479
5,5,8.05,0.499679349,-0.499679349
1,9,8.1,0.899451091,-0.09993901
2,8,8.1,0.799512081,-0.19987802
3,7,8.1,0.699573071,-0.29981703
4,6,8.1,0.599634061,-0.399756041
5,5,8.1,0.499695051,-0.499695051
1,9,8.15,0.899477965,-0.099941996
2,8,8.15,0.799535969,-0.199883992
3,7,8.15,0.699593973,-0.299825988
4,6,8.15,0.599651977,-0.399767984
5,5,8.15,0.499709981,-0.499709981
1,9,8.2,0.899503519,-0.099944835
2,8,8.2,0.799558684,-0.199889671
3,7,8.2,0.699613848,-0.299834506
4,6,8.2,0.599669013,-0.399779342
5,5,8.2,0.499724177,-0.499724177
1,9,8.25,0.899527819,-0.099947535
2,8,8.25,0.799580283,-0.199895071
3,7,8.25,0.699632748,-0.299842606
4,6,8.25,0.599685212,-0.399790142
5,5,8.25,0.499737677,-0.499737677
1,9,8.3,0.899550925,-0.099950103
2,8,8.3,0.799600823,-0.199900206
3,7,8.3,0.69965072,-0.299850308
4,6,8.3,0.599700617,-0.399800411
5,5,8.3,0.499750514,-0.499750514
1,9,8.35,0.899572898,-0.099952544
2,8,8.35,0.799620354,-0.199905088
3,7,8.35,0.69966781,-0.299857633
4,6,8.35,0.599715265,-0.399810177
5,5,8.35,0.499762721,-0.499762721
1,9,8.4,0.899593793,-0.099954866
2,8,8.4,0.799638927,-0.199909732
3,7,8.4,0.699684061,-0.299864598
4,6,8.4,0.599729195,-0.399819464
5,5,8.4,0.499774329,-0.499774329
1,9,8.45,0.899613663,-0.099957074
2,8,8.45,0.799656589,-0.199914147
3,7,8.45,0.699699516,-0.299871221
4,6,8.45,0.599742442,-0.399828295
5,5,8.45,0.499785368,-0.499785368
1,9,8.5,0.899632559,-0.099959173
2,8,8.5,0.799673386,-0.199918346
3,7,8.5,0.699714212,-0.29987752
4,6,8.5,0.599755039,-0.399836693
5,5,8.5,0.499795866,-0.499795866
1,9,8.55,0.899650528,-0.09996117
2,8,8.55,0.799689358,-0.19992234
3,7,8.55,0.699728189,-0.299883509
4,6,8.55,0.599767019,-0.399844679
5,5,8.55,0.499805849,-0.499805849
1,9,8.6,0.899667617,-0.099963069
2,8,8.6,0.799704548,-0.199926137
3,7,8.6,0.69974148,-0.299889206
4,6,8.6,0.599778411,-0.399852274
5,5,8.6,0.499815343,-0.499815343
1,9,8.65,0.899683868,-0.099964874
