beta,group,n_1,n_2,s_1,s_2,stable
3.1500000000000004,,2,6,0.6626286773140012,-0.22087622577133376,True
3.1500000000000004,,3,5,0.5521905644256855,-0.3313143386554113,True
3.1500000000000004,,4,4,0.44175245153976,-0.44175245153976,False
3.1500000000000004,,5,3,0.3313143386546744,-0.5521905644244572,False
3.1500000000000004,,6,2,0.2208762257697647,-0.6626286773092941,False
3.1500000000000004,,7,1,0.11043811288641328,-0.7730667902048929,False
3.2,,1,7,0.7793130437425787,-0.1113304348203684,True
3.2,,2,6,0.6679826089232609,-0.22266086964108692,True
3.2,,3,5,0.5566521741013137,-0.33399130446078823,False
3.2,,4,4,0.4453217392806416,-0.4453217392806416,False
3.2,,5,3,0.3339913044604107,-0.5566521741006845,False
3.2,,6,2,0.22266086964025555,-0.6679826089207667,False
3.2,,7,1,0.11133043482103053,-0.7793130437472134,False
3.25,,1,7,0.7851187870432348,-0.11215982672046212,True
3.25,,2,6,0.6729589603239468,-0.2243196534413156,True
3.25,,3,5,0.560799133602543,-0.3364794801615257,False
3.25,,4,4,0.4486393068818208,-0.4486393068818208,False
3.25,,5,3,0.3364794801613312,-0.5607991336022187,False
3.25,,6,2,0.22431965344086996,-0.6729589603226098,False
3.25,,7,1,0.11215982672095977,-0.7851187870467186,False
3.3,,1,7,0.7905213694900036,-0.11293162421285766,True
3.3,,2,6,0.6775897452778137,-0.22586324842593786,True
3.3,,3,5,0.5646581210644468,-0.3387948726386681,False
3.3,,4,4,0.4517264968514455,-0.4517264968514455,False
3.3,,5,3,0.3387948726385672,-0.5646581210642786,False
3.3,,6,2,0.22586324842569525,-0.6775897452770858,False
3.3,,7,1,0.11293162421314948,-0.7905213694920463,False
3.35,,1,7,0.7955542429083197,-0.11365060612975995,True
3.35,,2,6,0.6819036367789169,-0.2273012122596389,True
3.35,,3,5,0.5682530306488844,-0.3409518183893307,False
3.35,,4,4,0.4546024245190484,-0.4546024245190484,False
3.35,,5,3,0.3409518183892778,-0.5682530306487964,False
3.35,,6,2,0.22730121225950414,-0.6819036367785126,False
3.35,,7,1,0.11365060612992445,-0.7955542429094712,False
3.4000000000000004,,1,7,0.800247460832085,-0.114321065833155,True
3.4000000000000004,,2,6,0.6859263949991198,-0.2286421316663733,True
3.4000000000000004,,3,5,0.5716053291658186,-0.3429631974994912,False
3.4000000000000004,,4,4,0.4572842633326234,-0.4572842633326234,False
3.4000000000000004,,5,3,0.3429631974994632,-0.5716053291657721,False
3.4000000000000004,,6,2,0.22864213166629646,-0.6859263949988892,False
