beta,n_1,s_1,s_2,group,stable
3.56,5,0.316,0.316,1.0,True
3.56,5,0.408,0.184,2.0,False
3.6,1,0.316,0.316,1.0,True
3.6,1,0.996,0.031,2.0,True
3.6,2,0.316,0.316,1.0,True
3.6,2,0.691,0.075,2.0,False
3.6,3,0.316,0.316,1.0,True
3.6,3,0.55,0.115,2.0,False
3.6,4,0.316,0.316,1.0,True
3.6,4,0.466,0.149,2.0,False
3.6,5,0.316,0.316,1.0,True
3.6,5,0.411,0.177,2.0,False
3.64,1,0.316,0.316,1.0,True
3.64,1,0.996,0.03,2.0,True
3.64,2,0.316,0.316,1.0,True
3.64,2,0.692,0.073,2.0,False
3.64,3,0.316,0.316,1.0,True
3.64,3,0.552,0.111,2.0,False
3.64,4,0.316,0.316,1.0,True
3.64,4,0.468,0.144,2.0,False
3.64,5,0.316,0.316,1.0,True
3.64,5,0.413,0.171,2.0,False
3.68,1,0.316,0.316,1.0,True
3.68,1,0.996,0.028,2.0,True
3.68,2,0.316,0.316,1.0,True
3.68,2,0.693,0.07,2.0,False
3.68,3,0.316,0.316,1.0,True
3.68,3,0.554,0.107,2.0,False
3.68,4,0.316,0.316,1.0,True
3.68,4,0.47,0.139,2.0,False
3.68,5,0.316,0.316,1.0,True
3.68,5,0.415,0.166,2.0,False
3.72,1,0.316,0.316,1.0,True
3.72,1,0.997,0.027,2.0,True
3.72,2,0.316,0.316,1.0,True
3.72,2,0.694,0.067,2.0,False
3.72,3,0.316,0.316,1.0,True
3.72,3,0.555,0.103,2.0,False
3.72,4,0.316,0.316,1.0,True
3.72,4,0.472,0.134,2.0,False
3.72,5,0.316,0.316,1.0,True
3.72,5,0.417,0.161,2.0,False
3.7600000000000002,1,0.316,0.316,1.0,True
3.7600000000000002,1,0.997,0.026,2.0,True
3.7600000000000002,2,0.316,0.316,1.0,True
3.7600000000000002,2,0.695,0.065,2.0,False
3.7600000000000002,3,0.316,0.316,1.0,True
3.7600000000000002,3,0.557,0.1,2.0,False
3.7600000000000002,4,0.316,0.316,1.0,True
3.7600000000000002,4,0.474,0.13,2.0,False
3.7600000000000002,5,0.316,0.316,1.0,True
3.7600000000000002,5,0.419,0.156,2.0,False
3.8000000000000003,1,0.316,0.316,1.0,True
3.8000000000000003,1,0.997,0.025,2.0,True
3.8000000000000003,2,0.316,0.316,1.0,True
3.8000000000000003,2,0.696,0.063,2.0,False
3.8000000000000003,3,0.316,0.316,1.0,True
3.8000000000000003,3,0.558,0.097,2.0,False
3.8000000000000003,4,0.316,0.316,1.0,True
3.8000000000000003,4,0.476,0.126,2.0,False
3.8000000000000003,5,0.316,0.316,1.0,True
3.8000000000000003,5,0.421,0.151,2.0,False
3.84,1,0.316,0.316,1.0,True
3.84,1,0.997,0.024,2.0,True
3.84,2,0.316,0.316,1.0,True
3.84,2,0.697,0.061,2.0,False
3.84,3,0.316,0.316,1.0,True
3.84,3,0.559,0.093,2.0,False
3.84,4,0.316,0.316,1.0,True
3.84,4,0.477,0.122,2.0,False
3.84,5,0.316,0.316,1.0,True
3.84,5,0.423,0.146,2.0,False
3.88,1,0.316,0.316,1.0,True
3.88,1,0.998,0.023,2.0,True
3.88,2,0.316,0.316,1.0,True
3.88,2,0.697,0.058,2.0,False
3.88,3,0.316,0.316,1.0,True
3.88,3,0.561,0.09,2.0,False
3.88,4,0.316,0.316,1.0,True
3.88,4,0.479,0.118,2.0,False
3.88,5,0.316,0.316,1.0,True
3.88,5,0.424,0.142,2.0,False
3.92,1,0.316,0.316,1.0,True
3.92,1,0.998,0.022,2.0,True
3.92,2,0.316,0.316,1.0,True
3.92,2,0.698,0.056,2.0,False
3.92,3,0.316,0.316,1.0,True
3.92,3,0.562,0.088,2.0,False
3.92,4,0.316,0.316,1.0,True
3.92,4,0.48,0.115,2.0,False
3.92,5,0.316,0.316,1.0,True
3.92,5,0.425,0.138,2.0,False
3.96,1,0.316,0.316,1.0,True
3.96,1,0.998,0.021,2.0,True
3.96,2,0.316,0.316,1.0,True
3.96,2,0.699,0.055,2.0,False
3.96,3,0.316,0.316,1.0,True
3.96,3,0.563,0.085,2.0,False
3.96,4,0.316,0.316,1.0,True
3.96,4,0.481,0.111,2.0,False
